Ref.,機能名,説明
F001,支出の入力,支出の入力
F002,収入の入力,収入の入力
F003,支出の属性（固定費，やりくり費，ボーナス支出）,支出属性の選択
F004,支出のカテゴリをアイコンで選択,支出のカテゴリをアイコンで選択
F005,収入のカテゴリをアイコンで選択,収入のカテゴリをアイコンで選択
F006,（削除候補）支出メモ,要件回答の必須項目にメモが含まれないため実装しない（削除候補）
F007,（削除候補）収入メモ,要件回答の必須項目にメモが含まれないため実装しない（削除候補）
F008,期間内の収支リスト,期間内の収支をリスト表示
F009,個別収支の編集,全ての項目を編集可能
F010,個別収支の削除,収支の削除
F011,一覧の表示期間を変更,一覧の表示期間を変更（前/次の期間）
F012,一覧の支出属性の表示切替（全選択を含む）,一覧に表示する支出属性を切り替え
F013,一覧の収入と支出の切り替え,一覧に表示する支出と収入を切り替え
F014,期間収入の内訳の可視化,期間収入の内訳をパイチャートで可視化，高い割合ごとにリスト表示
F015,期間支出の内訳の可視化,期間支出の内訳をパイチャートで可視化，高い割合ごとにリスト表示
F016,（削除候補）週間収入内訳の可視化,要件回答により内訳は期間合計のみとするため，週間内訳は実装しない（削除候補）
F017,（削除候補）週間支出内訳の可視化,要件回答により内訳は期間合計のみとするため，週間内訳は実装しない（削除候補）
F018,内訳の表示期間を変更,内訳の表示期間を変更（前/次の期間）
F019,内訳の支出属性の表示切替（全選択を含む）,ボタンで内訳の支出属性の表示を切り替え
F020,内訳の収入，支出の表示切替,内訳の収入，支出をボタンで切り替え
F021,期間（直近3期間）収支の推移の可視化,棒グラフで期間収支の推移を可視化（デフォルト3期間）
F022,期間（直近3期間）収入の推移の可視化,棒グラフで期間収入の推移を可視化（デフォルト3期間）
F023,期間（直近3期間）支出の推移の可視化,棒グラフで期間支出の推移を可視化（デフォルト3期間）
F024,週間（直近3週間）収支の推移の可視化,棒グラフで週間収支の推移を可視化（デフォルト3週間，週は期間開始日を起点に7日単位）
F025,週間（直近3週間）収入の推移の可視化,棒グラフで週間収入の推移を可視化（デフォルト3週間，週は期間開始日を起点に7日単位）
F026,週間（直近3週間）支出の推移の可視化,棒グラフで週間支出の推移を可視化（デフォルト3週間，週は期間開始日を起点に7日単位）
F027,推移の表示期間をスライダーで変更,スライダーで推移の表示本数を変更（3~12，期間ごと/週別で共通）
F028,推移の支出属性の表示切替（全選択を含む）,ボタンで推移の支出属性の表示切替（全選択を含む）
F029,取引をcsvで出力（任意期間指定）,取引をcsvで出力（任意期間を開始日/終了日で指定）
F030,日付，カテゴリ，収入/支出，金額，属性のカラムを持つcsv,日付，カテゴリ，収入/支出，金額，属性のカラムを持つcsv
F031,csv出力範囲の開始日をカレンダーで選択可能,csv出力範囲の開始日をカレンダーで選択可能
F032,csv出力範囲の終了日をカレンダーで選択可能,csv出力範囲の終了日をカレンダーで選択可能
F033,プロフィール設定,プロフィールの設定
F034,データ共有設定,データ共有のON/OFF
F035,カテゴリ設定,収入，支出ごとに使用するカテゴリ ※初期カテゴリ（デフォルトセット）は 06_カテゴリ一覧.csv に定義
F036,リマインダー設定,リマインダー通知の設定（日時，リピート） ※初期リリース対象外（README参照）
F037,カラーテーマ設定,カラーテーマの変更
F038,フォントサイズ設定,フォントサイズの変更
F039,言語設定,英語，日本語の切り替え
F040,家計簿開始日設定,家計簿の開始日を設定
F041,期間設定,35日家計簿は1期間を35日か42日にする．設定変更は以後の期間から適用する．
F042,期間のやりくり費を設定,期間のやりくり費を設定（デフォルトで5万）
F043,ボーナス月までのカウントダウン,ボーナス月までのカウントダウン（ボーナス月はユーザーが設定）
F044,ボーナス月の間はボーナス期間を表示,ボーナス月の間はボーナス期間を表示
F045,期間カレンダーを1期間（35日/42日）で色分け,期間カレンダーを1期間（35日/42日）で色分け
F046,期間カレンダーに収支（収入は青，支出は赤）を表示,期間カレンダーに収支（収入は青，支出は赤）が表示
F047,期間カレンダーにやりくり費の残額を表示,期間カレンダーにやりくり費の残額を表示（固定費は除外）
